,ytest,DTR,MLR,ANN,SVR,winner
0,20.899999618530273,23.604166587193806,24.87109375,25.031225204467773,23.694936411415505,DTR
1,23.700000762939453,24.696000086466473,27.40625,26.355024337768555,27.24027536226132,DTR
2,30.0,27.6500000112197,29.19921875,28.47478485107422,29.733859525432976,SVR
3,34.20000076293945,34.46842073139391,34.05859375,34.44337463378906,34.30037485620804,SVR
4,36.900001525878906,34.47158472655249,33.4296875,34.397159576416016,33.65910447945349,DTR
5,28.100000381469727,24.696000086466473,27.953125,26.837310791015625,28.19233766705633,SVR
6,30.0,34.46470619650448,31.51171875,31.40856170654297,32.291153401994755,ANN
7,34.79999923706055,34.694444232516815,32.95703125,33.17713165283203,31.427687198871034,DTR
8,35.400001525878906,30.840476217724028,27.23046875,27.317127227783203,27.79190799188441,DTR
9,26.5,25.06666660308838,30.28515625,30.273902893066406,30.88204347945627,DTR
10,26.299999237060547,25.611111323038738,30.60546875,31.115591049194336,31.214260531258837,DTR
11,32.79999923706055,26.465189885489547,25.97265625,24.999717712402344,26.307590752758884,DTR
12,26.899999618530273,27.09538458310641,28.64453125,27.31321144104004,28.665924859936602,DTR
13,34.70000076293945,37.31111145019531,31.8203125,33.961795806884766,32.81498086297256,ANN
14,34.79999923706055,35.70666656494141,36.10546875,34.68680191040039,35.22781883042603,ANN
15,31.5,27.935135093895166,26.3515625,25.883893966674805,26.16262856223505,DTR
16,36.70000076293945,32.71111138661703,30.53125,29.974977493286133,30.671317272115083,DTR
17,35.900001525878906,35.99090922962535,31.10546875,30.73982810974121,31.688589850284878,DTR
18,21.799999237060547,22.733333269755047,24.46484375,24.19184112548828,23.840416214840545,DTR
19,30.600000381469727,32.96235302195829,33.84765625,34.197872161865234,33.48319905699387,DTR
20,26.899999618530273,24.949999809265137,27.4140625,27.781213760375977,27.73815775378595,MLR
21,24.200000762939453,25.443750143051147,25.6015625,25.023149490356445,24.81485123697419,SVR
22,32.20000076293945,29.73846171452449,27.1015625,27.20395278930664,27.655589655373163,DTR
23,31.100000381469727,26.752380961463565,29.41015625,28.841623306274414,30.048021913325744,SVR
24,27.799999237060547,26.58965511979728,27.16015625,26.81369972229004,25.775851145566193,MLR
25,25.200000762939453,26.465189885489547,25.1171875,24.030641555786133,25.085986469924194,MLR
26,33.0,28.78461559002216,30.51953125,28.592748641967773,32.28255974413056,SVR
27,24.100000381469727,30.33888880411784,29.95703125,29.852109909057617,29.972878483545642,ANN
28,37.20000076293945,37.79166650772095,35.2734375,35.83458709716797,36.69581705722706,SVR
29,32.70000076293945,32.31111102634006,31.44921875,31.487533569335938,31.988767459175435,DTR
30,29.700000762939453,29.75,32.9375,34.008628845214844,33.2586647079208,DTR
31,35.400001525878906,35.737500031789146,32.9296875,33.133296966552734,34.28741082710596,DTR
32,28.299999237060547,27.130769289456882,28.890625,28.194082260131836,29.39819623733591,ANN
33,33.20000076293945,34.18437486886978,33.734375,32.432518005371094,34.147596953949744,MLR
34,32.70000076293945,24.696000086466473,26.984375,25.91783332824707,27.730733360992435,SVR
35,35.29999923706055,34.544230901277984,37.15234375,35.25655746459961,37.1504049783595,ANN
36,30.899999618530273,28.553333409627278,26.05859375,25.52010726928711,24.64713900729806,DTR
37,36.599998474121094,34.22352951648188,30.5234375,31.772485733032227,32.00970288749086,DTR
38,33.70000076293945,34.233333587646484,31.16796875,31.226041793823242,31.61477754772055,DTR
39,32.900001525878906,32.450000166893005,29.94140625,29.779050827026367,30.488595532864636,DTR
40,29.899999618530273,27.6500000112197,30.37890625,29.30142593383789,30.536931690573113,MLR
41,35.5,36.40000016348703,32.65625,33.968990325927734,32.98511099134491,DTR
42,34.70000076293945,34.27063495393784,31.14453125,32.68959045410156,32.285926158386886,DTR
43,29.299999237060547,27.927083214124043,28.0859375,26.096811294555664,28.13397745122598,SVR
44,25.200000762939453,24.550000190734863,25.0078125,24.581003189086914,23.29635368326668,MLR
45,23.799999237060547,27.6500000112197,31.28125,30.907094955444336,30.707839742303637,DTR
46,21.899999618530273,24.696000086466473,29.48828125,28.327312469482422,29.421309496872002,DTR
47,28.899999618530273,32.2000001560558,32.1015625,33.20599365234375,32.34834163545646,MLR
48,35.20000076293945,35.735897553272736,33.3203125,35.058860778808594,33.478577834674816,ANN
49,30.100000381469727,27.55500011444092,30.42578125,29.581323623657227,30.850406198399558,MLR
50,25.399999618530273,26.29374998807907,30.01171875,28.71442413330078,30.606449139612558,DTR
51,31.5,31.633333841959637,36.02734375,36.55316925048828,35.38668038442324,DTR
52,23.799999237060547,26.59090912558816,25.16796875,24.957609176635742,24.414524975023042,SVR
53,25.299999237060547,26.463333511352538,27.5546875,26.667160034179688,28.84361103683118,DTR
54,33.900001525878906,34.18437486886978,34.484375,34.066646575927734,34.214243511686206,ANN
55,22.899999618530273,29.73846171452449,26.63671875,26.969758987426758,26.891952184688606,MLR
56,28.299999237060547,26.752380961463565,30.19140625,29.514131546020508,30.349001380276004,ANN
57,28.700000762939453,29.20000017606295,27.23828125,26.150705337524414,28.03318315106161,DTR
58,30.299999237060547,39.02499961853027,34.203125,32.75091552734375,34.143198523881196,ANN
59,35.70000076293945,34.27063495393784,32.46484375,33.43635177612305,32.84309783316269,DTR
60,30.899999618530273,31.22499990463257,30.4375,29.539533615112305,30.675694370558098,SVR
61,35.0,36.02499961853027,30.6015625,30.89533805847168,31.227340109498492,DTR
62,25.5,24.94375018278758,26.265625,25.973766326904297,25.345370072518897,SVR
63,31.600000381469727,28.87142848968506,27.06640625,26.628864288330078,26.490651117707998,DTR
